Base,Terms,Date,FxRate
EUR,USD,12/01/2017,1.1998
EUR,USD,11/01/2017,1.1904
EUR,USD,10/01/2017,1.1646
EUR,USD,09/01/2017,1.1814
EUR,USD,08/01/2017,1.191
EUR,USD,07/01/2017,1.1842
EUR,USD,06/01/2017,1.1426
EUR,USD,05/01/2017,1.1243
EUR,USD,04/01/2017,1.0897
EUR,USD,03/01/2017,1.0652
EUR,USD,02/01/2017,1.0577
EUR,USD,01/01/2017,1.0798
GBP,USD,12/01/2017,1.3515
GBP,USD,11/01/2017,1.3526
GBP,USD,10/01/2017,1.3283
GBP,USD,09/01/2017,1.3397
GBP,USD,08/01/2017,1.2931
GBP,USD,07/01/2017,1.3214
GBP,USD,06/01/2017,1.3027
GBP,USD,05/01/2017,1.289
GBP,USD,04/01/2017,1.2951
GBP,USD,03/01/2017,1.255
GBP,USD,02/01/2017,1.2381
GBP,USD,01/01/2017,1.2579
USD,JPY,12/01/2017,112.69
USD,JPY,11/01/2017,112.53
USD,JPY,10/01/2017,113.64
USD,JPY,09/01/2017,112.49
USD,JPY,08/01/2017,109.97
USD,JPY,07/01/2017,110.25
USD,JPY,06/01/2017,112.38
USD,JPY,05/01/2017,110.78
USD,JPY,04/01/2017,111.55
USD,JPY,03/01/2017,111.39
USD,JPY,02/01/2017,112.78
USD,JPY,01/01/2017,112.8
USD,USD,12/01/2017,1
USD,USD,11/01/2017,1
USD,USD,10/01/2017,1
USD,USD,09/01/2017,1
USD,USD,08/01/2017,1
USD,USD,07/01/2017,1
USD,USD,06/01/2017,1
USD,USD,05/01/2017,1
USD,USD,04/01/2017,1
USD,USD,03/01/2017,1
USD,USD,02/01/2017,1
USD,USD,01/01/2017,1
